セクション,項目,宝来 2025款 改款 200TSI 手动畅行版,宝来 2025款 改款 200TSI DSG畅行版,宝来 2025款 改款 200TSI DSG悦行导航版,宝来 2025款 改款 200TSI DSG悦行PRO版,宝来 2025款 改款 280TSI DSG舒行版,宝来 2025款 改款 300TSI DSG尊行版,宝来 2025款 200TSI DSG悦行导航版,宝来 2025款 200TSI DSG悦行PRO版,宝来 2025款 280TSI DSG舒行版,宝来 2025款 300TSI DSG尊行版
,厂商指导价(元),11.29万 计算器,12.39万 计算器,12.99万 计算器,13.29万 计算器,13.59万 计算器,14.39万 计算器,12.99万 计算器,13.29万 计算器,13.59万 计算器,14.39万 计算器
,经销商报价,7.69万起 询底价,8.79万起 询底价,9.39万起 询底价,9.69万起 询底价,9.99万起 询底价,10.79万起 询底价,9.39万起 询底价,9.69万起 询底价,9.99万起 询底价,10.79万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2024.10,2024.10,2024.10,2024.10
基本参数,最大功率(kW),85,85,85,85,110,118,85,85,110,118
基本参数,最大扭矩(N·m),200,200,200,200,250,250,200,200,250,250
基本参数,变速箱,5挡手动,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.2T 116马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.4T 150马力 L4,1.5T 160马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.4T 150马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478,4672*1815*1478
基本参数,官方0-100km/h加速(s),10.9,11,11,11,8.8,8.7,11,11,8.8,8.7
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.76,5.71,5.75,5.75,5.83,5.44,5.75,5.75,5.83,5.44
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1253,1283,1317,1317,1338,1344,1317,1317,1338,1344
基本参数,最大满载质量(kg),1720,1740,1760,1760,1800,1810,1760,1760,1800,1810
车身,长度(mm),4672,4672,4672,4672,4672,4672,4672,4672,4672,4672
车身,宽度(mm),1815,1815,1815,1815,1815,1815,1815,1815,1815,1815
车身,高度(mm),1478,1478,1478,1478,1478,1478,1478,1478,1478,1478
车身,轴距(mm),2688,2688,2688,2688,2688,2688,2688,2688,2688,2688
车身,前轮距(mm),1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
车身,后轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
车身,接近角(°),16,16,16,16,16,16,16,16,16,16
车身,离去角(°),14,14,14,14,14,14,14,14,14,14
车身,最小转弯半径(m),5.4,5.4,5.4,5.4,5.35,5.35,5.4,5.4,5.35,5.35
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),506,506,506,506,506,506,506,506,506,506
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DLC,DLC,DLC,DLC,DLE,DSV,DLC,DLC,DLE,DSV
发动机,排量(mL),1197,1197,1197,1197,1395,1498,1197,1197,1395,1498
发动机,排量(L),1.2,1.2,1.2,1.2,1.4,1.5,1.2,1.2,1.4,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),116,116,116,116,150,160,116,116,150,160
发动机,最大功率(kW),85,85,85,85,110,118,85,85,110,118
发动机,最大功率转速(rpm),5000,5000,5000,5000,5000-6000,5500,5000,5000,5000-6000,5500
发动机,最大扭矩(N·m),200,200,200,200,250,250,200,200,250,250
发动机,最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,2000-3500,1750-3000,1750-4000,2000-3500,2000-3500,1750-3000,1750-4000
发动机,最大净功率(kW),85,85,85,85,110,118,85,85,110,118
发动机,发动机特有技术,-,-,-,-,-,米勒循环,-,-,-,米勒循环
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,最低燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,5,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,手动变速箱(MT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
